"Firma";"Website";"Bedarf";"DL Beschreibung";"Geschäftsführung";"Gefundene E-Mails";"GF-Mail (belegt/rekonstruiert)";"Hinweis"
"FayoTec GmbH";"https://www.fayotec.eu/";"Vielleicht";"• Automatisierung und digitale Transformation aus Karlsruhe
• Lösungen in IT-Infrastruktur, Prozessautomatisierung, KI und AR/VR
• Individuelle Softwareentwicklung und industrielle Automatisierung
• Kleines IT-Dienstleistungs- und Beratungsunternehmen";"";"";"";"Nicht erreichbar (HTTP 503 auf Impressum und Startseite)."
"ferret go GmbH";"https://www.ferret-go.com/";"Ja";"• Automatisiertes Community-Management und Moderation (Produkt Conversario)
• NLP- und Machine-Learning-Technologie zur Moderation von Online-Kommentaren
• Kontinuierlich lernende KI, Integration in Social Media, Apps, Chats
• Marken-eigene Social-Plattformen (Engagently)";"Kevin Kallenbach";"support@ferret-go.com";"";"Nur support@-Adresse belegt, kein persoenliches Muster."
"FIASCO GmbH";"https://fiasco.de/";"Ja";"• KI-basierte Plattform zur Kfz-Schadenbewertung
• KI-System SOFIA erkennt Fahrzeugteile und Schäden auf Bildern (Computer Vision)
• Schnelle, automatisierte Schadenkalkulation für Versicherung, Flottenleasing, Werkstätten
• ISO 27001-zertifiziert";"Harun Coşkun, Önder Aslan";"info@fiasco.de";"";"Nur info@-Adresse belegt, kein Muster erkennbar."
"finception GmbH";"https://finception.de/";"Vielleicht";"• Softwarehaus für betriebliches Rechnungswesen und Controlling (Smart Accounting)
• Digitalisierung und Automatisierung von Buchhaltungsprozessen
• Produkt ProfinPlus mit KI-Datenanalyse im Controlling
• Innovative Finanzprodukte für Unternehmen aller Größen";"Kevin Schuller";"support@finception.de";"";"Nur support@-Adresse belegt, kein persoenliches Muster."
"Floy GmbH";"https://www.floy.com/";"Ja";"• KI-gestützte Software zur Unterstützung von Radiologen
• Erkennung häufig übersehener Pathologien und Zufallsbefunde
• Analyse von Röntgen-, CT- und MRT-Aufnahmen
• Eingesetzt in über 170 Radiologie-Praxen in Deutschland";"Benedikt Schneider";"info@floy.com";"";"Nur info@-Adresse belegt, kein Muster erkennbar."
"foldAI / Turner und Partner Data Scientists PartG";"https://eco.fold.ai/";"Ja";"• IoT, KI und Data Science für natürliche Ökosysteme (Waldgesundheit, Biodiversität, Klima)
• Plattform zur Umweltüberwachung, Risikobewertung und Ökosystem-Health-Tracking
• Über 1.000 Sensor-/Monitoring-Geräte in fünf europäischen Ländern ausgebracht
• Kombination aus Sensorik, Machine Learning und Forstexpertise";"Dr. Jake Turner, Dr. Friedrich Förstner, Dr. Giovanni Carmantini (Managing Directors); Alicia Charennat (Président)";"hello@fold.eco";"";"Umleitung auf fold.eco; Impressum JS-gerendert. hello@fold.eco aus Cloudflare-cfemail dekodiert; GF-Namen von About-Seite. Kein persoenliches Muster belegt."
"foresAIght.ai";"https://www.foresaight.ai/";"Ja";"• KI-gestütztes Demand Forecasting für Supply-Chain-Planung
• Hybrid-AI-Engine kombiniert interne Verkaufsdaten mit über 1.000 externen Signalen (Wetter, Makro, Trends)
• Rollenspezifische Prognosen für Sales, Beschaffung, Produktion, Logistik
• Abo-Service für Hersteller und Distributoren";"Julian Gruber, Steffen Runge (Managing Directors / Co-Founders)";"info@foresaight.ai";"";"Nur info@-Adresse belegt, kein persoenliches Muster."
"FrontNow GmbH";"https://frontnow.com/";"Vielleicht";"• GenAI-Anbieter zur Optimierung von E-Commerce-Kundenerlebnissen
• Produkt ""Enhance"": Bereinigung/Anreicherung von Produktdaten, SEO-Texte
• Produkt ""Advise"": KI-Empfehlungssystem, versteht 83 Sprachen
• Enterprise-Kunden wie Audi, P&G, Coop";"Marc Funk, Bernhard Lihotzky";"imprint@frontnow.com";"";"Legal-Notice (SPA) via WebFetch; nur imprint@-Adresse belegt."
"FSGU GmbH (nulu)";"https://nulu.io/";"Vielleicht";"• Managementberatung und Softwareanbieter (Friesenheim)
• Unternehmensberatung, Prozess-/Qualitätsmanagement
• Software-/Digitallösungen (nulu-Plattform)
• Verbindung zur FSGU-Gruppe/Akademie";"Alexander Golfmann, Rolf Stahlberger, Martin Teufel";"hello@nulu.io";"";"nulu ist Projekt der FSGU GmbH; nur allgemeine Mail hello@nulu.io belegt."
"FUSE-AI GmbH";"https://fuse-ai.de/en/home/";"Ja";"• Entwickelt medizinische KI-Software für die Radiologie (Hamburg)
• Deep-Learning-Analyse von MRT/CT, Röntgen und Mikroskopiebildern (u.a. Krebsdiagnostik)
• Kompetenzen in Segmentierung, Klassifizierung, Prognose
• Zusätzlich KI-Beratung und Dienstleister für ML-Umsetzung";"Matthias Steffen";"info@fuse-ai.de";"";"Nur allgemeine Mail info@fuse-ai.de belegt, kein Muster."
"fuseki GmbH";"https://www.fuseki.com/";"Vielleicht";"• Digitale Innovationsschmiede für Software Engineering, Data Science und Big Data (Essen)
• Entwickelt Software-, Web- und SaaS-Lösungen für Industrie, Energie, Wasserwirtschaft
• Analyse, Beratung und Implementierung in Big Data, KI und Data Analytics
• Begleitet Mittelstand und DAX-Konzerne bei Digitalisierung";"Dr. Heinz Kierchhoff, Milan Radman";"hi@fuseki.com";"";"Nur allgemeine Mail hi@fuseki.com belegt, kein Muster."
"Fuxlab GmbH";"https://fuxlab.com/";"Vielleicht";"• Softwareentwicklung und Beratung mit Fokus auf Software & KI (Tecklenburg)
• Maßgeschneiderte API-Dienstleistungspakete, Automatisierung, Partneranbindungen
• Datenverarbeitung und Full-Stack-Produktentwicklung
• Software-Konzeption, API-Integration und -Wartung";"F. Cieslik";"mail@fuxlab.com";"";"GF nur mit Initiale (F. Cieslik) genannt; nur mail@fuxlab.com belegt."
"Gauss Machine Learning GmbH (GaussML)";"https://www.gauss-ml.com/";"Ja";"• Industrial-AI-Lösungen für die Fertigungsindustrie
• Produkt ""Optimyzer"": findet optimale Maschinenparameter automatisch
• Eigener ""#SmallData""-Ansatz mit wenigen gezielten Tests
• Anwendungen: Laserschneiden, Spritzguss, Roboterschweißen, Zerspanung";"Dr. Jonathan Spitz";"contact@gauss-ml.com; info@gauss-ml.com";"";"Nur allgemeine Mails belegt, kein Muster."
"Genow GmbH";"https://www.genow.ai/";"Vielleicht";"• KI-Plattform für den industriellen Vertrieb
• ""Sales Agent"": Produktmatching, Angebotsdrafts, Kundenrecherche
• ""Service Agent"" und zugrundeliegende Knowledge Platform
• Läuft in Kunden-Cloud, ISO-27001 und GDPR-konform";"Dr. Timo Koppe, Adrian Glauben, Dr. Sara Jourdan";"hey@genow.ai";"";"Impressum unter /en/legal-notice; nur hey@genow.ai belegt."
"GEOLINKED (GeoLambda)";"https://www.geolinked.de/";"Ja";"• Beratung und Entwicklung von KI-Tools/Pipelines für Geodaten (GeoLambda)
• Geospatiale Analyse: GIS, Satellitenbilder, Risikobewertung, Umweltmonitoring
• Machine Learning: Vorhersagemodelle, Computer Vision, räumliche KI-Agenten
• Cloud-native Data Engineering, Training und KI-Architektur-Beratung";"Dr. Gerrit Tombrink";"g.tombrink@geolambda.ai; hello@geolambda.ai";"g.tombrink@geolambda.ai";"Domain leitet auf geolambda.ai um; persoenliche Mail des Verantwortlichen woertlich belegt."
"GET Capital AG";"https://www.get-capital.de/";"Vielleicht";"• KI- und quant-gestütztes Asset Management (seit 2006)
• Analysiert täglich über 8.000 Märkte für Portfoliooptimierung
• Robo-Advisory (Smavesto), Fonds für institutionelle Investoren
• Nachhaltigkeitsfokus, PRI-Mitglied";"Vorstand: Harald Schnorrenberg (Aufsichtsratsvorsitzender: Prof. Dr. Heinz J. Hockmann)";"mail@get-capital.de";"";"AG; nur allgemeine Mail mail@get-capital.de belegt."
"Get Mika GmbH";"https://www.getmika.de/";"Ja";"• Berliner Fintech mit KI-gestützter Buchhaltungssoftware für kleine Unternehmen
• Automatisierte Buchhaltung mit KI-Belegerkennung
• USt-Voranmeldung, Jahresabschluss, Rechnungs- und Zahlungsabwicklung
• Abo-Modell, positioniert als KI-Alternative zum Steuerbüro";"Agnieszka Walorska, Lukas Linnekuhle Brunner, Henry Müssemann";"mika@getmika.de; sales@getmika.de";"";"Nur allgemeine Mails belegt, kein persoenliches Muster."
"Gini GmbH";"https://www.gini.net/";"Ja";"• Fintech mit KI-Lösungen für Mobile Banking und Zahlungen
• Fotoüberweisung, QR-/Belegerkennung, Payment Initiation, SEPA Request-to-Pay
• OCR- und Eingabetechnologie für Banken, Versicherungen, E-Commerce
• Kunden unter großen deutschen/österreichischen Finanzinstituten";"";"hello@gini.net";"";"Impressum nennt 'Vertreten durch:' ohne Namen (leer); nur hello@gini.net belegt."
"goCAD GmbH";"https://www.gocad.de/";"Ja";"• CNC-Kalkulations-/Angebotssoftware für Lohnfertiger (Stuttgart)
• KI-gestützte Auswertung von CAD-Daten und technischen Zeichnungen
• Automatische Erkennung von Toleranzen, Wandstärken, Materialien, Geometrien
• SaaS-Webshop-Lösung für B2B-Metall-/Kunststoffteile";"";"";"";"Website nicht erreichbar (HTTP 522)."
"graphworks.ai GmbH";"https://graphworks.ai/";"Vielleicht";"• KI-gestützte Sales-Intelligence-Plattform (SalesGuide)
• Echtzeit-Erkennung von Projekten, Ausschreibungen und Risiken aus öffentlichen Quellen
• Extraktion/Strukturierung von Marktsignalen über viele Branchen
• Einsatz von Large Language Models für Empfehlungen und Automatisierung";"Prof. Dr. Fatih Gedikli, Enes Gedikli";"info@graphworks.ai";"";"Kontaktmail (Cloudflare-verschleiert) dekodiert zu info@graphworks.ai; kein Muster."
"H&F Solutions GmbH";"https://www.hf-solutions.co/";"Vielleicht";"• Digitalisierungs- und KI-Lösungen (Marke Hertfelder AI)
• Intelligente Vernetzungssoftware für Unternehmen
• Automatisierter Belegaustausch zwischen ERP-Systemen
• Fokus auf Reduktion von Prozesskomplexität";"Tobias Hertfelder";"info@hertfelder.ai";"";"Impressum weist auf Hertfelder aus; nur info@hertfelder.ai belegt."
"Hainzelman GmbH";"https://hainzelman.com/";"Vielleicht";"• Vorkonfigurierte 'digitale Mitarbeitende' (KI-Agenten) für den Mittelstand
• EU-gehostet, DSGVO- und KI-VO-konform
• Integration in bestehende Tools und Prozesse
• Branchenrollen z.B. für Maschinenbau, Handwerk, Logistik";"Robin Müller, Collin Müller";"sales@hainzelman.com";"";"Nur allgemeine Mail sales@hainzelman.com belegt, kein Muster."
"HASE & IGEL GmbH";"https://www.haseundigel.com/";"Vielleicht";"• Big-Data- und KI-Lösungen aus Oldenburg
• Datenanalyse und Markt-/Text-Intelligence
• Softwareprodukte zur Auswertung großer Datenmengen
• Unterstützung datengetriebener Entscheidungen";"Jan Schoenmakers";"kontakt@haseundigel.com";"";"Nur allgemeine Mail kontakt@haseundigel.com belegt, kein Muster."
"Heldenkombinat Technologies GmbH";"https://www.heldenkombinat.com/";"Ja";"• KI-Beratung und Optimierung von KI-Anwendungen
• Entwicklung eigener Sprachanwendungen/ASR unter schwierigen Bedingungen
• Computer Vision, Dokumentenverarbeitung, Conversational AI
• Potenzialanalyse, Implementierung, Security Audits, CAIO-Coaching";"";"website@heldenkombinat.com";"";"Wix-Seite ohne erreichbares Impressum/GF-Angabe; nur website@heldenkombinat.com belegt."
"hiqs GmbH";"https://www.hiqs.de/";"Vielleicht";"• Intelligente Softwarelösungen mit KI
• Softwareentwicklung, Cloud und KI-Beratung
• Eigene Produkte für effiziente Geschäftsprozesse
• Ganzheitlicher Ansatz von Beratung bis Entwicklung";"Peter Alexander Sohl";"info@hiqs.de";"";"Nur allgemeine Mail info@hiqs.de belegt, kein Muster."
"Hitachi Solutions Germany GmbH";"https://www.hitachi-solutions.de/";"Vielleicht";"• IT-Beratung und Implementierung von Business-Anwendungen
• Schwerpunkt Microsoft Dynamics 365 (CRM/ERP)
• Digitale Transformation und Cloud-Lösungen
• Branchenlösungen und Systemintegration";"Steven French, Yasushi Miura";"";"";"Keine E-Mail-Adresse auf Impressum/Kontaktseiten belegt."
"Holocene GmbH";"https://www.holocene.eu/";"Vielleicht";"• E-Mail-native Supply-Chain-Orchestrierungsplattform (EPOCH)
• KI-Agenten für automatische Bestellbestätigungen und Inbound-Logistik
• PO-Level-Transparenz ohne Lieferantenportale oder EDI
• Standardisierung/Automatisierung E-Mail-basierter Abläufe";"Navneet Lekshminarayanan";"info@holocene.eu";"";"Impressum unter /legal/legal-notice; info(at)holocene.eu dekodiert; kein Muster."
"HS Analysis GmbH";"https://www.hs-analysis.com/";"Ja";"• KI-gestützte Bild- und Datenanalyse (High Scale AI Analysis)
• Softwareplattform HSA KIT für Annotation und KI-Modelltraining
• Schwerpunkt Histopathologie/medizinische Bildanalyse
• Werkzeuge für Segmentierung und Objekterkennung";"Sergey Biniaminov (CEO)";"info@hs-analysis.com";"";"Aus Impressum. Nur generische Mail, kein Namensmuster belegt."
"idalab GmbH";"https://idalab.de/";"Vielleicht";"• Data-Science- und KI-Beratung mit Fokus Healthcare
• Kunden aus Biotech, Pharma, Medtech, Care und Healthcare-Investment
• Entwicklung und Implementierung von ML-Lösungen
• Praktischer Einsatz von KI seit 2014";"Dr. Paul von Bünau";"hello@idalab.de";"";"Aus /imprint. /impressum ist 404, Imprint unter /imprint. Nur generische Mail."
"IDS Imaging Development Systems GmbH";"https://de.ids-imaging.com/";"Ja";"• Hersteller von Industrie- und Machine-Vision-Kameras
• KI-Vision-System IDS NXT mit eingebetteter Inferenz
• Bildverarbeitungslösungen für Automatisierung und Inspektion
• Software/SDKs für Kamerasteuerung und KI-Training";"Jan Hartmann, Alexander Lewinsky";"";"";"Impressum durch Cloudflare-Challenge blockiert (curl + WebFetch 403). GF aus externer Recherche (Northdata/Presse), nicht von Website verifiziert. Keine Mail belegt."
"ifm statmath gmbh";"https://www.statmath.de/";"Vielleicht";"• Data Science und KI für Industriedaten (Tochter der ifm-Gruppe)
• Algorithmen für Predictive Maintenance und Qualitätsprognosen
• Skalierbare Module/Apps für die moneo-Plattform
• Individuelle Softwarelösungen zur Prozessoptimierung";"Dr. Alexander Hoffmann";"statmath@ifm.com";"";"Aus Impressum (Vertreten durch Dr. Alexander Hoffmann). Nur generische Mail."
"INFOMOTION";"https://www.infomotion.de/unternehmen/themen/big-data-advanced-analytics/kuenstliche-intelligenz/";"Vielleicht";"• Beratung für Big Data, Advanced Analytics und Business Intelligence
• KI-Beratung und Implementierung datengetriebener Lösungen
• Data-Management- und Data-Warehouse-Projekte
• Umsetzung von Analytics-Anwendungsfällen";"Mark Zimmermann (CTO), Andreas Naunin (CEO), Oliver Blüher (CBDO)";"info@infomotion.de";"";"Aus Impressum (Vertretungsberechtigte). Mail als info(at)infomotion.de verschleiert, dekodiert. Nur generische Mail."
"INFORM GmbH";"https://www.inform-software.de/";"Vielleicht";"• KI- und Optimierungssoftware für Geschäftsprozesse
• Lösungen für Logistik, Disposition, Bestands- und Personalplanung
• Betrugserkennung und Entscheidungsoptimierung
• Eigene Produkte (z.B. FELIOS, add*ONE)";"Dr. Andreas Meyer, Peter Frerichs";"info@inform-software.com; webmaster@inform-software.com";"";"Aus Impressum (INFORM Institut für Operations Research und Management GmbH). Nur Funktions-Mails, kein Namensmuster."
"Inlinity Technologies GmbH";"https://www.inlinity.ai/";"Vielleicht";"• Lösungen für vertrauenswürdige KI ('Trusting Artificial Intelligence')
• Fokus auf Finanz- und Versicherungsbranche
• Validierung, Absicherung und Governance von KI-Modellen
• Werkzeuge für regulatorisch konforme KI";"Kilian Kluge";"hello@inlinity.ai";"";"Aus /imprint (/impressum ist 404). Nur generische Mail."
"innFactory GAI Consulting GmbH";"https://innfactory.ai/";"Vielleicht";"• KI-Beratung mit Fokus Strategie und Compliance
• Eigenlösung CompanyGPT und individuelle KI-Anwendungen
• Generative-AI-Projekte und Umsetzung
• Standort Rosenheim";"Tobias Jonas, Fabian Artmann";"info@innfactory.ai";"";"Aus Impressum (Firmierung im Impressum: innFactory AI Consulting GmbH). Nur generische Mail."
"Innomatik AG";"https://www.innomatik.com/";"Vielleicht";"• Beratung für KI, Digitalisierung und innovative IT-Lösungen
• Begleitung von der Idee bis zur Umsetzung
• Individuelle Software- und Automatisierungslösungen
• Unterstützung bei der KI-Einführung in Unternehmen";"Dr.-Ing. Peter Merkel (Vorstand); Adrian P. Merkel (Aufsichtsratsvorsitzender)";"info@innomatik.com";"";"Aus Impressum. Nur generische Mail."
"Innoplexus AG";"https://www.innoplexus.com/";"Ja";"• KI-Anbieter für Arzneimittelforschung und -entwicklung (Teil von Partex.AI)
• Data-as-a-Service und Continuous Analytics aus strukturierten/unstrukturierten Pharmadaten
• Nutzt Deep Learning und NLP zur Auswertung öffentlicher und privater Daten
• Kunden: führende Pharma-, Biotech- und Finanzunternehmen";"Gunjan Bhardwaj (CEO/Gründer)";"info@partex.ai";"";"Website rebranded zu Partex NV; Impressum (partex.ai/en/imprint) JS-gerendert, nur info@partex.ai belegt. GF/CEO Gunjan Bhardwaj aus externer Recherche, nicht von Impressum verifiziert."
"inovex GmbH";"https://www.inovex.de/de/";"Vielleicht";"• IT-Projekthaus mit Fokus auf digitale Transformation
• Softwareentwicklung, Infrastruktur/Platform Engineering, IoT
• Eigener Bereich Data & AI: Data Science, KI-Strategien, -Architekturen und -Anwendungen
• Branchen u.a. Automotive, Finance, Medical, Retail";"Stephan Müller, Tobias Joch";"info@inovex.de";"";"Aus Impressum. Nur generische Mail."
"insage GmbH";"http://www.insage.io/";"Vielleicht";"• KI-gestützte Analyseplattform für unstrukturierte Daten im E-Commerce
• 'Talk to your data': Datenauswertung in natürlicher Sprache
• Konsolidiert Daten aus Shopify, Meta, TikTok u.a.; KI-Copilot für Dashboards/Reports
• Startup aus Mannheim (2024)";"Simon Engelhorn, Marc Schauer, Matthias Storch";"info@insage.io";"";"Website SPA, curl liefert keinen Text. Impressum-Inhalt (insage.io/imprint) via Websuche belegt: GF-Namen und info@insage.io."
